datetime,x,y,z
1989-03-11 14:32:30,16572,-4127,54661
1989-03-11 14:32:40,16573,-4129,54660
1989-03-11 14:32:50,16572,-4127,54663
1989-03-11 14:33:00,16571,-4130,54661
1989-03-11 14:33:10,16572,-4127,54663
1989-03-11 14:33:20,16571,-4129,54661
1989-03-11 14:33:30,16572,-4128,54661
1989-03-11 14:33:40,16572,-4127,54662
1989-03-11 14:33:50,16571,-4127,54662
1989-03-11 14:34:00,16572,-4127,54662
1989-03-11 14:34:10,16572,-4127,54663
1989-03-11 14:34:20,16571,-4127,54661
1989-03-11 14:34:30,16571,-4127,54662
1989-03-11 14:34:40,16571,-4127,54661
1989-03-11 14:34:50,16571,-4127,54662
1989-03-11 14:35:00,16570,-4127,54662
1989-03-11 14:35:10,16570,-4127,54661
1989-03-11 14:35:20,16570,-4126,54661
1989-03-11 14:35:30,16572,-4128,54661
1989-03-11 14:35:40,16571,-4128,54660
1989-03-11 14:35:50,16570,-4126,54662
1989-03-11 14:36:00,16571,-4128,54660
1989-03-11 14:36:10,16571,-4126,54662
1989-03-11 14:36:20,16571,-4127,54661
1989-03-11 14:36:30,16573,-4127,54661
1989-03-11 14:36:40,16570,-4127,54662
1989-03-11 14:36:50,16570,-4128,54661
1989-03-11 14:37:00,16571,-4128,54661
1989-03-11 14:37:10,16571,-4129,54660
1989-03-11 14:37:20,16570,-4128,54662
1989-03-11 14:37:30,16572,-4129,54662
1989-03-11 14:37:40,16572,-4128,54664
1989-03-11 14:37:50,16573,-4130,54662
1989-03-11 14:38:00,16572,-4130,54663
1989-03-11 14:38:10,16572,-4130,54663
1989-03-11 14:38:20,16572,-4130,54663
1989-03-11 14:38:30,16572,-4131,54662
1989-03-11 14:38:40,16573,-4130,54663
1989-03-11 14:38:50,16571,-4129,54664
1989-03-11 14:39:00,16572,-4131,54663
1989-03-11 14:39:10,16572,-4132,54661
1989-03-11 14:39:20,16571,-4131,54663
1989-03-11 14:39:30,16571,-4132,54662
1989-03-11 14:39:40,16572,-4131,54662
1989-03-11 14:39:50,16571,-4131,54662
1989-03-11 14:40:00,16572,-4132,54662
1989-03-11 14:40:10,16571,-4132,54661
1989-03-11 14:40:20,16571,-4130,54664
1989-03-11 14:40:30,16571,-4132,54662
1989-03-11 14:40:40,16572,-4131,54663
1989-03-11 14:40:50,16571,-4132,54663
1989-03-11 14:41:00,16572,-4131,54663
1989-03-11 14:41:10,16571,-4131,54662
1989-03-11 14:41:20,16570,-4132,54662
1989-03-11 14:41:30,16571,-4131,54664
1989-03-11 14:41:40,16571,-4131,54663
1989-03-11 14:41:50,16570,-4132,54662
1989-03-11 14:42:00,16571,-4132,54663
1989-03-11 14:42:10,16570,-4131,54663
1989-03-11 14:42:20,16571,-4132,54663
1989-03-11 14:42:30,16570,-4131,54662
1989-03-11 14:42:40,16570,-4133,54661
1989-03-11 14:42:50,16570,-4131,54662
1989-03-11 14:43:00,16569,-4131,54663
1989-03-11 14:43:10,16570,-4131,54663
1989-03-11 14:43:20,16569,-4131,54663
1989-03-11 14:43:30,16570,-4133,54661
1989-03-11 14:43:40,16571,-4133,54662
1989-03-11 14:43:50,16570,-4133,54662
1989-03-11 14:44:00,16570,-4133,54662
