Time,Z,dT
1958-02-10 18:08:20,44968.291796854,22100.000000079497
1958-02-10 18:08:40,44968.40922292925,22120.00000007725
1958-02-10 18:09:00,44968.52664900451,22140.000000075
1958-02-10 18:09:20,44968.64407507976,22160.000000072752
1958-02-10 18:09:40,44968.761501155015,22180.000000070504
1958-02-10 18:10:00,44968.878927230275,22200.000000068256
1958-02-10 18:10:20,44968.99635330553,22220.000000066007
1958-02-10 18:10:40,44969.11377938079,22240.00000006376
1958-02-10 18:11:00,44969.23120545604,22260.00000006151
1958-02-10 18:11:20,44969.3486315313,22280.000000059263
1958-02-10 18:11:40,44969.46605760655,22300.000000057014
1958-02-10 18:12:00,44969.52229887511,22320.000000056967
1958-02-10 18:12:20,44969.53765840395,22340.00000005839
1958-02-10 18:12:40,44969.55301793278,22360.000000059816
1958-02-10 18:13:00,44969.56837746162,22380.000000061238
1958-02-10 18:13:20,44969.58373699045,22400.000000062664
1958-02-10 18:13:40,44969.59909651928,22420.000000064087
1958-02-10 18:14:00,44969.61445604812,22440.000000065513
1958-02-10 18:14:20,44969.629815576955,22460.000000066935
1958-02-10 18:14:40,44969.64517510578,22480.00000006836
1958-02-10 18:15:00,44969.66053463462,22500.000000069784
1958-02-10 18:15:20,44969.675894163454,22520.00000007121
1958-02-10 18:15:40,44969.69125369229,22540.000000072632
1958-02-10 18:16:00,44969.70661322112,22560.00000007406
1958-02-10 18:16:20,44969.721972749954,22580.00000007548
1958-02-10 18:16:40,44969.73733227879,22600.000000076903
1958-02-10 18:17:00,44969.752691807626,22620.00000007833
1958-02-10 18:17:20,44969.768051336454,22640.00000007975
1958-02-10 18:17:40,44969.78341086529,22660.000000081178
1958-02-10 18:18:00,44969.798770394125,22680.0000000826
1958-02-10 18:18:20,44969.81412992296,22700.000000084026
1958-02-10 18:18:40,44969.82948945179,22720.00000008545
1958-02-10 18:19:00,44969.844848980625,22740.000000086875
1958-02-10 18:19:20,44969.86020850946,22760.000000088297
1958-02-10 18:19:40,44969.8755680383,22780.000000089723
1958-02-10 18:20:00,44969.890927567125,22800.000000091146
1958-02-10 18:20:20,44969.90628709596,22820.000000092572
1958-02-10 18:20:40,44969.921646624796,22840.000000093994
1958-02-10 18:21:00,44969.93700615363,22860.00000009542
1958-02-10 18:21:20,44969.95236568246,22880.000000096843
1958-02-10 18:21:40,44969.967725211296,22900.00000009827
1958-02-10 18:22:00,44969.96376704554,22920.000000093674
1958-02-10 18:22:20,44969.94371080129,22940.000000084063
1958-02-10 18:22:40,44969.923654557046,22960.00000007445
